household_key,group,treatment,pre_active_days,pre_baskets,pre_sales,pre_quantity,recency,no_pre_purchase,pre_target_baskets,pre_target_sales,pre_target_quantity,pre_target_purchase,pre_coupon_redemptions,pre_campaign_count,target_sales,target_quantity,target_purchase,total_sales,baskets,any_purchase,target_sales_first30,target_quantity_first30,target_purchase_first30,total_sales_first30,baskets_first30,any_purchase_first30,target_sales_per_day,total_sales_per_day
45,대조,0,15.0,17.0,259.1,107.0,4.0,0,17.0,214.3,87.0,1,0,1,4.99,1.0,1,9.16,1.0,1,4.99,1.0,1,9.16,1.0,1,0.104,0.1908
47,처치,1,38.0,40.0,934.57,279.0,6.0,0,28.0,458.34,133.0,1,0,1,77.75,31.0,1,161.82,12.0,1,43.9,20.0,1,103.25,8.0,1,1.6198,3.3712
48,대조,0,22.0,22.0,489.82,7249.0,2.0,0,20.0,366.38,138.0,1,0,0,110.77,39.0,1,124.73,5.0,1,103.77,36.0,1,117.73,4.0,1,2.3077,2.5985
49,처치,1,41.0,45.0,2853.6,221133.0,4.0,0,28.0,1333.2,804.0,1,0,2,231.24,133.0,1,506.88,9.0,1,202.73,108.0,1,423.31,8.0,1,4.8175,10.56
51,처치,1,25.0,25.0,1178.79,530.0,6.0,0,22.0,541.0600000000001,243.0,1,0,2,129.88,60.0,1,257.11,4.0,1,47.87,31.0,1,112.37,2.0,1,2.7058,5.3565
55,처치,1,44.0,46.0,236.39000000000001,144.0,2.0,0,27.0,108.9,58.0,1,0,2,19.98,8.0,1,40.88,10.0,1,10.98,5.0,1,26.23,7.0,1,0.4162,0.8517
56,대조,0,60.0,67.0,2502.88,1006.0,1.0,0,61.0,1076.79,395.0,1,2,1,110.33,53.0,1,323.16,18.0,1,74.49,38.0,1,239.07,13.0,1,2.2985,6.7325
57,처치,1,36.0,43.0,544.11,27953.0,2.0,0,33.0,200.34,97.0,1,0,2,11.81,8.0,1,20.52,4.0,1,11.31,7.0,1,20.02,3.0,1,0.246,0.4275
64,처치,1,67.0,82.0,1044.09,552.0,1.0,0,67.0,561.91,215.0,1,0,1,140.29,49.0,1,277.88,14.0,1,130.0,47.0,1,247.47,12.0,1,2.9227,5.7892
65,처치,1,28.0,41.0,692.05,204.0,1.0,0,21.0,270.39,88.0,1,0,4,74.69,18.0,1,116.74,10.0,1,66.11,15.0,1,100.58,8.0,1,1.556,2.4321
67,처치,1,41.0,51.0,1919.59,74415.0,1.0,0,40.0,902.86,466.0,1,9,2,309.61,166.0,1,745.0,20.0,1,229.57,115.0,1,532.17,13.0,1,6.4502,15.5208
71,처치,1,27.0,27.0,948.62,281.0,11.0,0,25.0,331.5,147.0,1,0,0,148.55,80.0,1,235.71,5.0,1,102.77,43.0,1,173.31,4.0,1,3.0948,4.9106
74,처치,1,42.0,46.0,799.51,561.0,3.0,0,43.0,514.82,359.0,1,0,2,20.490000000000002,16.0,1,32.63,1.0,1,0.0,0.0,0,0.0,0.0,0,0.4269,0.6798
77,대조,0,20.0,20.0,1144.94,576.0,13.0,0,18.0,621.36,271.0,1,0,1,172.07,82.0,1,360.44,6.0,1,97.58,54.0,1,209.01,4.0,1,3.5848,7.5092
78,처치,1,70.0,76.0,764.78,500.0,1.0,0,71.0,373.7,230.0,1,0,2,118.74000000000001,76.0,1,296.04,17.0,1,53.79,34.0,1,149.91,7.0,1,2.4738,6.1675
79,대조,0,56.0,63.0,1536.42,47911.0,1.0,0,44.0,752.26,279.0,1,0,0,135.54,57.0,1,510.9,16.0,1,112.75,44.0,1,425.11,12.0,1,2.8238,10.6437
80,처치,1,27.0,31.0,883.97,32016.0,6.0,0,24.0,492.75,241.0,1,0,0,175.65,106.0,1,275.09,7.0,1,132.22,71.0,1,190.5,3.0,1,3.6594,5.731
83,대조,0,27.0,29.0,300.93,127.0,2.0,0,16.0,131.0,51.0,1,0,1,12.4,5.0,1,94.76,10.0,1,11.0,4.0,1,89.98,8.0,1,0.2583,1.9742
85,처치,1,71.0,78.0,1651.85,23197.0,8.0,0,66.0,833.01,371.0,1,0,3,35.49,18.0,1,59.55,4.0,1,22.91,10.0,1,32.58,2.0,1,0.7394,1.2406
86,대조,0,13.0,18.0,1571.42,534.0,16.0,0,16.0,606.13,184.0,1,0,1,218.44,66.0,1,405.8,2.0,1,138.91,43.0,1,243.93,1.0,1,4.5508,8.4542
91,처치,1,43.0,50.0,1007.83,95824.0,1.0,0,29.0,319.78,121.0,1,0,0,131.55,44.0,1,341.3,20.0,1,67.52,19.0,1,159.28,9.0,1,2.7406,7.1104
92,대조,0,13.0,14.0,221.9,10382.0,5.0,0,11.0,117.3,77.0,1,0,1,125.55,66.0,1,147.31,5.0,1,69.9,35.0,1,80.42,3.0,1,2.6156,3.069
96,대조,0,9.0,10.0,273.99,105.0,99.0,0,8.0,181.9,55.0,1,0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
97,처치,1,54.0,61.0,1612.58,105572.0,8.0,0,44.0,662.52,325.0,1,0,2,154.46,78.0,1,601.5,22.0,1,65.79,30.0,1,261.73,12.0,1,3.2179,12.5312
98,대조,0,29.0,38.0,505.34000000000003,396.0,7.0,0,29.0,255.9,163.0,1,0,2,57.38,35.0,1,105.13,5.0,1,43.43,21.0,1,82.05,3.0,1,1.1954,2.1902
99,처치,1,63.0,69.0,1749.22,9165.0,1.0,0,59.0,1085.83,578.0,1,0,1,390.93,219.0,1,606.38,18.0,1,214.49,126.0,1,352.04,11.0,1,8.1444,12.6329
103,대조,0,6.0,6.0,92.22,52.0,53.0,0,6.0,58.480000000000004,29.0,1,0,1,2.99,1.0,1,17.97,1.0,1,2.99,1.0,1,17.97,1.0,1,0.0623,0.3744
108,처치,1,18.0,21.0,1163.61,13425.0,13.0,0,19.0,660.77,277.0,1,0,3,8.45,1.0,1,8.45,1.0,1,0.0,0.0,0,0.0,0.0,0,0.176,0.176
109,처치,1,43.0,45.0,1347.54,596.0,3.0,0,42.0,572.0,272.0,1,0,2,112.6,52.0,1,271.22,10.0,1,89.32000000000001,41.0,1,171.86,7.0,1,2.3458,5.6504
110,처치,1,41.0,51.0,809.24,31360.0,2.0,0,37.0,435.0,236.0,1,0,1,149.93,70.0,1,189.56,8.0,1,53.230000000000004,30.0,1,78.32000000000001,3.0,1,3.1235,3.9492
111,대조,0,16.0,19.0,507.08,13041.0,23.0,0,17.0,247.47,105.0,1,0,0,3.49,3.0,1,8.379999999999999,1.0,1,0.0,0.0,0,0.0,0.0,0,0.0727,0.1746
112,처치,1,29.0,33.0,579.03,47345.0,10.0,0,23.0,150.73,44.0,1,0,0,22.979999999999997,2.0,1,87.64,5.0,1,3.99,1.0,1,68.65,4.0,1,0.4787,1.8258
114,처치,1,19.0,19.0,782.82,5128.0,5.0,0,14.0,418.22,150.0,1,0,2,100.61,43.0,1,211.52,4.0,1,72.19,31.0,1,148.13,3.0,1,2.096,4.4067
116,대조,0,22.0,24.0,235.85,122.0,4.0,0,19.0,92.4,80.0,1,0,2,24.74,25.0,1,54.66,7.0,1,12.17,14.0,1,40.4,5.0,1,0.5154,1.1388
118,처치,1,23.0,26.0,1255.51,58339.0,5.0,0,19.0,543.53,315.0,1,0,2,190.07,114.0,1,429.12,7.0,1,92.31,58.0,1,210.28,4.0,1,3.9598,8.94
119,대조,0,26.0,29.0,1022.9,345.0,25.0,0,28.0,614.77,193.0,1,0,1,70.39,22.0,1,148.62,5.0,1,65.22,19.0,1,142.16,4.0,1,1.4665,3.0962
121,처치,1,44.0,55.0,1260.34,661.0,11.0,0,40.0,767.6,299.0,1,0,1,82.81,33.0,1,114.99000000000001,8.0,1,64.37,24.0,1,84.6,7.0,1,1.7252,2.3956
122,처치,1,19.0,20.0,246.06,85.0,1.0,0,16.0,113.03999999999999,39.0,1,0,3,29.82,11.0,1,62.88,5.0,1,11.08,6.0,1,37.82,3.0,1,0.6212,1.31
123,처치,1,52.0,56.0,1019.52,21983.0,1.0,0,48.0,623.64,281.0,1,0,1,120.69,51.0,1,225.46,11.0,1,66.78999999999999,28.0,1,115.11,6.0,1,2.5144,4.6971
132,처치,1,41.0,44.0,1063.46,457.0,2.0,0,42.0,635.87,274.0,1,0,4,85.04,42.0,1,168.97,7.0,1,23.75,16.0,1,55.31,4.0,1,1.7717,3.5202
134,처치,1,22.0,23.0,1278.75,619.0,5.0,0,21.0,608.75,328.0,1,0,3,367.99,137.0,1,617.08,5.0,1,250.89,98.0,1,437.16,4.0,1,7.6665,12.8558
136,대조,0,29.0,35.0,1522.6,816.0,5.0,0,30.0,716.42,363.0,1,0,1,68.98,39.0,1,155.1,6.0,1,65.6,35.0,1,143.64,5.0,1,1.4371,3.2312
137,대조,0,12.0,13.0,160.9,54.0,6.0,0,9.0,43.7,25.0,1,0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
138,대조,0,16.0,16.0,996.57,481.0,4.0,0,16.0,633.58,276.0,1,0,2,94.60000000000001,37.0,1,280.16,5.0,1,65.57000000000001,28.0,1,219.39,3.0,1,1.9708,5.8367
139,처치,1,34.0,38.0,1141.4,64028.0,4.0,0,30.0,470.69,262.0,1,0,0,222.74,116.0,1,340.47,8.0,1,98.56,61.0,1,139.08,3.0,1,4.6404,7.0931
140,처치,1,22.0,25.0,588.74,325.0,1.0,0,17.0,329.01,189.0,1,0,2,47.03,24.0,1,71.9,5.0,1,28.85,17.0,1,33.73,1.0,1,0.9798,1.4979
142,처치,1,43.0,43.0,622.29,302.0,4.0,0,33.0,290.42,141.0,1,0,4,21.63,9.0,1,51.81,9.0,1,15.07,6.0,1,40.7,7.0,1,0.4506,1.0794
145,대조,0,12.0,13.0,371.76,149.0,31.0,0,9.0,89.16,43.0,1,0,1,24.26,5.0,1,79.72,3.0,1,0.0,0.0,0,25.97,1.0,1,0.5054,1.6608
149,처치,1,36.0,42.0,2456.52,197442.0,5.0,0,26.0,891.48,378.0,1,0,3,374.85,142.0,1,1405.29,23.0,1,238.32,97.0,1,880.9300000000001,15.0,1,7.8094,29.2769
151,대조,0,7.0,8.0,104.45,50.0,142.0,0,8.0,73.08,37.0,1,0,1,0.99,1.0,1,13.99,1.0,1,0.0,0.0,0,0.0,0.0,0,0.0206,0.2915
155,처치,1,14.0,14.0,784.83,305.0,24.0,0,12.0,390.9,158.0,1,0,1,110.03,46.0,1,265.52,6.0,1,59.4,25.0,1,145.2,4.0,1,2.2923,5.5317
158,처치,1,58.0,58.0,665.53,225.0,2.0,0,53.0,223.22,155.0,1,1,2,69.29,44.0,1,229.5,19.0,1,38.629999999999995,22.0,1,123.92,9.0,1,1.4435,4.7812
160,대조,0,11.0,12.0,300.12,10566.0,23.0,0,10.0,152.16,57.0,1,0,1,38.96,18.0,1,63.17,4.0,1,24.13,12.0,1,36.480000000000004,2.0,1,0.8117,1.316
161,처치,1,48.0,58.0,1086.55,31047.0,1.0,0,43.0,396.15,147.0,1,0,0,350.84,128.0,1,767.49,34.0,1,268.26,106.0,1,594.32,27.0,1,7.3092,15.9894
164,처치,1,33.0,36.0,1326.58,13532.0,2.0,0,32.0,776.0600000000001,421.0,1,0,0,237.21,125.0,1,393.79,8.0,1,124.09,62.0,1,198.5,4.0,1,4.9419,8.204
165,처치,1,46.0,52.0,941.94,64318.0,3.0,0,41.0,530.18,275.0,1,1,5,106.71000000000001,59.0,1,173.55,11.0,1,88.15,45.0,1,153.54,7.0,1,2.2231,3.6156
166,처치,1,34.0,35.0,845.76,367.0,10.0,0,30.0,354.95,154.0,1,0,0,181.34,52.0,1,311.26,10.0,1,132.7,38.0,1,215.91,6.0,1,3.7779,6.4846
179,대조,0,18.0,18.0,252.97,94.0,17.0,0,11.0,85.55,27.0,1,0,1,13.65,5.0,1,52.08,1.0,1,13.65,5.0,1,52.08,1.0,1,0.2844,1.085
180,처치,1,18.0,22.0,591.84,1945.0,19.0,0,16.0,332.35,134.0,1,0,1,75.41,36.0,1,146.1,4.0,1,75.41,36.0,1,146.1,4.0,1,1.571,3.0437
181,대조,0,5.0,7.0,348.77,28955.0,62.0,0,5.0,169.15,82.0,1,0,2,74.88,37.0,1,130.71,3.0,1,0.0,0.0,0,0.0,0.0,0,1.56,2.7231
183,처치,1,38.0,45.0,555.81,221.0,2.0,0,31.0,325.89,120.0,1,0,2,75.73,20.0,1,114.01,12.0,1,61.78,16.0,1,95.19,9.0,1,1.5777,2.3752
184,처치,1,67.0,84.0,2628.18,218383.0,4.0,0,59.0,1362.48,350.0,1,0,4,257.74,83.0,1,461.28000000000003,13.0,1,233.91,75.0,1,383.12,8.0,1,5.3696,9.61
185,대조,0,22.0,25.0,830.28,29110.0,2.0,0,17.0,460.9,238.0,1,0,1,22.94,11.0,1,108.15,6.0,1,12.25,3.0,1,37.65,3.0,1,0.4779,2.2531
187,대조,0,10.0,10.0,121.98,75.0,17.0,0,8.0,64.67,38.0,1,0,2,22.560000000000002,6.0,1,25.83,3.0,1,4.88,2.0,1,5.65,2.0,1,0.47,0.5381
188,처치,1,9.0,10.0,649.87,309.0,122.0,0,8.0,422.23,166.0,1,0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
192,대조,0,24.0,24.0,1031.96,417.0,5.0,0,23.0,489.82,178.0,1,0,2,131.58,44.0,1,298.35,8.0,1,73.14,24.0,1,152.44,4.0,1,2.7413,6.2156
193,처치,1,30.0,46.0,1940.58,282601.0,10.0,0,23.0,556.59,241.0,1,0,2,72.24,36.0,1,378.94,9.0,1,15.65,9.0,1,165.73,5.0,1,1.505,7.8946
194,대조,0,13.0,14.0,294.07,98.0,21.0,0,9.0,71.5,38.0,1,0,1,66.74000000000001,34.0,1,181.89000000000001,5.0,1,2.79,3.0,1,49.980000000000004,1.0,1,1.3904,3.7894
195,처치,1,17.0,20.0,1215.82,72634.0,2.0,0,15.0,696.18,326.0,1,0,1,82.16,39.0,1,197.23,4.0,1,69.16,30.0,1,140.1,3.0,1,1.7117,4.109
200,대조,0,8.0,11.0,20.4,16.0,1.0,0,2.0,2.35,2.0,1,0,0,130.25,36.0,1,220.1,17.0,1,130.25,36.0,1,201.36,14.0,1,2.7135,4.5854
205,처치,1,30.0,37.0,1024.44,400.0,21.0,0,33.0,731.33,264.0,1,0,0,541.12,181.0,1,745.09,18.0,1,231.71,95.0,1,340.43,9.0,1,11.2733,15.5227
208,처치,1,39.0,44.0,1357.15,56805.0,1.0,0,36.0,684.14,279.0,1,1,4,140.8,55.0,1,298.45,6.0,1,134.21,52.0,1,288.87,5.0,1,2.9333,6.2177
211,처치,1,23.0,25.0,485.67,297.0,2.0,0,20.0,173.82,80.0,1,0,0,113.18,53.0,1,221.83,14.0,1,61.5,30.0,1,119.49000000000001,9.0,1,2.3579,4.6215
214,처치,1,27.0,27.0,916.54,431.0,7.0,0,26.0,596.45,268.0,1,1,2,165.73,85.0,1,243.86,9.0,1,75.84,42.0,1,101.19,5.0,1,3.4527,5.0804
215,처치,1,39.0,42.0,437.7,283.0,2.0,0,30.0,256.26,159.0,1,0,0,108.41,52.0,1,180.18,15.0,1,93.75,40.0,1,143.06,12.0,1,2.2585,3.7538
216,처치,1,25.0,27.0,575.53,307.0,2.0,0,20.0,208.39000000000001,76.0,1,0,1,98.03,33.0,1,392.90999999999997,14.0,1,78.3,24.0,1,183.15,8.0,1,2.0423,8.1856
217,대조,0,17.0,20.0,770.01,40205.0,1.0,0,13.0,310.75,134.0,1,0,1,47.75,14.0,1,141.65,3.0,1,23.76,7.0,1,66.37,1.0,1,0.9948,2.951
218,처치,1,54.0,68.0,3595.44,415599.0,3.0,0,43.0,1244.88,379.0,1,0,1,165.56,55.0,1,555.24,6.0,1,99.16,32.0,1,357.95,4.0,1,3.4492,11.5675
220,처치,1,23.0,30.0,989.72,67493.0,3.0,0,20.0,398.94,227.0,1,0,1,67.16,31.0,1,142.94,6.0,1,8.219999999999999,7.0,1,46.87,3.0,1,1.3992,2.9779
221,처치,1,24.0,28.0,916.7,28223.0,4.0,0,24.0,350.93,217.0,1,0,1,113.85000000000001,71.0,1,288.94,10.0,1,57.160000000000004,36.0,1,168.77,7.0,1,2.3719,6.0196
222,처치,1,28.0,28.0,1182.01,28830.0,2.0,0,22.0,635.97,304.0,1,1,1,153.31,70.0,1,305.43,7.0,1,80.75,40.0,1,189.34,5.0,1,3.194,6.3631
226,대조,0,5.0,5.0,159.75,73.0,100.0,0,5.0,113.81,50.0,1,0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
227,대조,0,34.0,38.0,350.65,7724.0,2.0,0,30.0,216.72,237.0,1,0,0,65.08,64.0,1,78.41,7.0,1,43.589999999999996,42.0,1,56.92,5.0,1,1.3558,1.6335
228,처치,1,21.0,23.0,1223.83,18390.0,3.0,0,15.0,957.99,158.0,1,0,0,95.08,62.0,1,304.2,10.0,1,55.72,36.0,1,155.29,5.0,1,1.9808,6.3375
230,처치,1,44.0,50.0,1351.19,61733.0,1.0,0,28.0,675.35,352.0,1,0,1,171.6,90.0,1,337.78,11.0,1,96.33,53.0,1,194.6,8.0,1,3.575,7.0371
236,대조,0,6.0,6.0,138.5,54.0,12.0,0,5.0,59.85,18.0,1,0,2,96.42,29.0,1,133.6,4.0,1,69.94,26.0,1,107.12,3.0,1,2.0088,2.7833
242,처치,1,20.0,20.0,1265.65,501.0,9.0,0,17.0,663.9,264.0,1,0,1,283.3,102.0,1,439.73,7.0,1,188.78,59.0,1,306.64,4.0,1,5.9021,9.161
243,처치,1,65.0,79.0,2560.91,204792.0,3.0,0,54.0,1165.74,513.0,1,3,3,280.18,97.0,1,603.03,14.0,1,177.38,53.0,1,381.83,9.0,1,5.8371,12.5631
245,대조,0,9.0,10.0,215.9,4635.0,6.0,0,9.0,116.86,59.0,1,0,1,57.92,30.0,1,142.56,6.0,1,24.880000000000003,9.0,1,67.34,2.0,1,1.2067,2.97
246,대조,0,14.0,16.0,283.38,3662.0,30.0,0,15.0,145.61,68.0,1,0,1,10.01,4.0,1,16.0,2.0,1,1.5,1.0,1,1.5,1.0,1,0.2085,0.3333
248,대조,0,6.0,6.0,710.19,312.0,10.0,0,5.0,300.26,164.0,1,0,1,287.55,124.0,1,466.3,7.0,1,260.85,113.0,1,416.08,6.0,1,5.9906,9.7146
249,처치,1,34.0,38.0,562.57,282.0,1.0,0,23.0,170.8,102.0,1,0,1,88.82,43.0,1,235.01,11.0,1,88.82,43.0,1,226.01999999999998,10.0,1,1.8504,4.896
251,대조,0,23.0,27.0,598.79,7490.0,31.0,0,25.0,357.49,129.0,1,0,1,86.05,23.0,1,128.99,6.0,1,21.23,9.0,1,39.34,3.0,1,1.7927,2.6873
257,처치,1,33.0,44.0,689.79,2384.0,11.0,0,32.0,404.1,243.0,1,0,2,187.07,108.0,1,287.65,7.0,1,152.15,93.0,1,231.79,6.0,1,3.8973,5.9927
258,처치,1,67.0,75.0,733.53,538.0,2.0,0,57.0,292.98,248.0,1,0,3,103.95,51.0,1,200.54,15.0,1,78.7,35.0,1,148.05,11.0,1,2.1656,4.1779
261,대조,0,15.0,15.0,385.19,44879.0,4.0,0,7.0,94.84,36.0,1,0,0,7.99,3.0,1,53.43,2.0,1,7.99,3.0,1,41.45,1.0,1,0.1665,1.1131
264,대조,0,21.0,22.0,658.14,319.0,7.0,0,18.0,191.76,73.0,1,0,0,39.39,16.0,1,167.16,6.0,1,33.39,13.0,1,122.61,4.0,1,0.8206,3.4825
266,처치,1,13.0,13.0,674.25,29714.0,5.0,0,8.0,311.72,135.0,1,0,1,98.99000000000001,44.0,1,188.69,3.0,1,25.8,13.0,1,36.230000000000004,1.0,1,2.0623,3.931
271,처치,1,19.0,20.0,165.09,71.0,38.0,0,5.0,26.95,12.0,1,0,3,8.39,4.0,1,37.24,2.0,1,0.0,0.0,0,5.99,1.0,1,0.1748,0.7758
273,처치,1,41.0,46.0,796.82,294.0,5.0,0,28.0,370.37,112.0,1,0,0,68.47,32.0,1,164.56,8.0,1,39.29,14.0,1,113.93,7.0,1,1.4265,3.4283
275,처치,1,75.0,103.0,2096.51,77956.0,4.0,0,70.0,893.78,467.0,1,0,1,164.28,82.0,1,375.61,21.0,1,102.84,48.0,1,257.06,16.0,1,3.4225,7.8252
278,대조,0,21.0,21.0,532.69,202.0,2.0,0,19.0,274.01,97.0,1,0,3,94.33,32.0,1,163.24,8.0,1,70.33,18.0,1,91.25,5.0,1,1.9652,3.4008
279,대조,0,20.0,28.0,959.86,69521.0,7.0,0,19.0,515.8,233.0,1,1,1,44.13,19.0,1,55.15,2.0,1,44.13,19.0,1,55.15,2.0,1,0.9194,1.149
280,대조,0,31.0,34.0,732.46,43918.0,12.0,0,21.0,418.84,138.0,1,0,1,144.05,61.0,1,196.51,8.0,1,57.78,29.0,1,95.07000000000001,6.0,1,3.001,4.094
282,처치,1,33.0,41.0,1372.91,69862.0,7.0,0,25.0,601.4300000000001,236.0,1,4,3,61.33,20.0,1,214.9,7.0,1,61.33,20.0,1,214.9,7.0,1,1.2777,4.4771
283,대조,0,20.0,21.0,1559.39,592.0,6.0,0,21.0,875.2,348.0,1,0,1,246.67000000000002,83.0,1,561.47,5.0,1,94.11,34.0,1,208.36,2.0,1,5.139,11.6973
285,대조,0,43.0,48.0,928.73,32673.0,3.0,0,31.0,537.77,206.0,1,0,4,160.09,66.0,1,305.54,15.0,1,147.92,61.0,1,257.13,9.0,1,3.3352,6.3654
286,대조,0,11.0,15.0,397.69,207.0,36.0,0,12.0,141.26,54.0,1,0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
288,처치,1,24.0,25.0,885.28,75210.0,1.0,0,19.0,426.17,190.0,1,0,2,120.63,48.0,1,274.59,8.0,1,37.15,20.0,1,121.57,3.0,1,2.5131,5.7206
289,처치,1,46.0,58.0,1590.25,240738.0,3.0,0,33.0,568.0,302.0,1,0,3,209.58,101.0,1,546.96,14.0,1,170.51,79.0,1,432.44,10.0,1,4.3662,11.395
293,처치,1,40.0,46.0,1533.89,623.0,2.0,0,41.0,1132.48,421.0,1,0,2,169.65,71.0,1,232.64000000000001,6.0,1,160.66,68.0,1,217.53,5.0,1,3.5344,4.8467
297,처치,1,17.0,19.0,422.65,195.0,11.0,0,15.0,262.0,104.0,1,0,1,62.95,21.0,1,106.83,4.0,1,0.0,0.0,0,12.77,2.0,1,1.3115,2.2256
302,대조,0,22.0,23.0,464.07,158.0,1.0,0,17.0,328.43,96.0,1,0,1,109.15,24.0,1,216.72,12.0,1,48.32,17.0,1,154.89000000000001,8.0,1,2.274,4.515
303,처치,1,66.0,76.0,1730.31,30276.0,1.0,0,66.0,778.21,367.0,1,0,1,345.92,195.0,1,637.05,29.0,1,202.59,114.0,1,366.13,16.0,1,7.2067,13.2719
305,처치,1,38.0,44.0,1157.92,49211.0,9.0,0,30.0,524.1,190.0,1,0,3,139.19,43.0,1,296.77,8.0,1,68.56,21.0,1,176.09,5.0,1,2.8998,6.1827
