household_key,group,treatment,pre_active_days,pre_baskets,pre_sales,pre_quantity,recency,no_pre_purchase,pre_target_baskets,pre_target_sales,pre_target_quantity,pre_target_purchase,pre_coupon_redemptions,pre_campaign_count,target_sales,target_quantity,target_purchase,total_sales,baskets,any_purchase,target_sales_first30,target_quantity_first30,target_purchase_first30,total_sales_first30,baskets_first30,any_purchase_first30,target_sales_per_day,total_sales_per_day,p_score,match_id
2388,대조,0,35,49,1267.75,540,10,0,45,920.69,344,1,0,1,157.14,92.0,1,255.11,8.0,1,151.15,81.0,1,205.75,4.0,1,2.8061,4.5555,0.47119293129008405,13
57,처치,1,115,146,2434.99,103083,6,0,115,1119.2,496,1,0,3,59.58,35.0,1,274.48,21.0,1,26.1,15.0,1,121.08,11.0,1,1.0639,4.9014,0.85120316218929,14
1369,대조,0,105,110,2192.9,841,3,0,103,906.85,439,1,0,2,113.62,47.0,1,242.39,12.0,1,89.76,35.0,1,187.0,9.0,1,2.0289,4.3284,0.8508369209469901,14
65,처치,1,78,99,1718.01,490,5,0,58,749.09,205,1,0,5,113.37,28.0,1,255.91,18.0,1,70.87,18.0,1,169.29,12.0,1,2.0245,4.5698,0.3948081488464354,15
1660,대조,0,40,47,1615.28,12239,15,0,34,844.12,349,1,0,1,131.12,60.0,1,252.21,8.0,1,84.31,52.0,1,164.23,3.0,1,2.3414,4.5038,0.39390960786115603,15
71,처치,1,72,76,2991.04,12371,7,0,67,931.71,406,1,0,1,47.64,25.0,1,65.29,4.0,1,28.9,8.0,1,31.18,2.0,1,0.8507,1.1659,0.8098101354278769,16
2223,대조,0,160,284,1903.8,1002,1,0,102,756.21,258,1,0,3,81.79,16.0,1,134.15,12.0,1,37.72,9.0,1,90.08,10.0,1,1.4605,2.3955,0.8033920830367686,16
73,처치,1,128,160,2748.86,215939,72,0,109,1019.09,374,1,0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.8358700988566122,17
923,대조,0,86,142,2705.25,215339,5,0,88,1176.25,421,1,0,2,113.24,28.0,1,326.94,10.0,1,76.55,20.0,1,277.73,6.0,1,2.0221,5.8382,0.836626897186367,17
77,처치,1,68,69,4550.63,2150,23,0,67,2259.35,924,1,0,1,356.34000000000003,134.0,1,745.92,8.0,1,267.34000000000003,96.0,1,542.0,4.0,1,6.3632,13.32,0.8537759919712404,18
356,대조,0,145,195,2218.8,110054,8,0,89,346.09,208,1,0,1,10.03,7.0,1,221.26,15.0,1,4.25,4.0,1,106.54,8.0,1,0.1791,3.9511,0.8523371282126287,18
79,처치,1,108,123,3043.67,150107,3,0,88,1404.1,549,1,0,0,117.76,57.0,1,298.29,10.0,1,95.21,42.0,1,230.3,7.0,1,2.1029,5.3266,0.9107336265251369,19
581,대조,0,105,122,4516.32,18917,4,0,107,1909.65,1020,1,1,3,145.53,63.0,1,280.0,13.0,1,68.07000000000001,31.0,1,148.64,6.0,1,2.5988,5.0,0.9181506491712307,19
86,처치,1,31,40,3492.24,16183,19,0,35,1430.06,467,1,0,1,217.93,63.0,1,379.82,3.0,1,24.76,4.0,1,24.76,1.0,1,3.8916,6.7825,0.5756640359280489,20
348,대조,0,57,71,1458.78,887,4,0,51,872.37,379,1,0,1,621.65,240.0,1,1026.86,40.0,1,490.5,179.0,1,672.5500000000001,15.0,1,11.1009,18.3368,0.5770206490974504,20
91,처치,1,110,133,2139.81,178279,1,0,91,856.32,321,1,0,1,162.63,72.0,1,405.34,27.0,1,75.55,33.0,1,222.19,15.0,1,2.9041,7.2382,0.8609306159015696,21
675,대조,0,123,166,3552.2200000000003,189675,1,0,94,1534.45,584,1,0,3,193.42,69.0,1,420.52,20.0,1,98.49,35.0,1,184.73,9.0,1,3.4539,7.5093,0.8573435371960513,21
101,처치,1,102,147,4737.1,235127,4,0,79,2090.12,962,1,2,3,378.38,160.0,1,1015.93,38.0,1,119.41,51.0,1,533.1800000000001,19.0,1,6.7568,18.1416,0.8855366977486874,22
1159,대조,0,149,190,3594.67,236711,3,0,131,1216.87,527,1,0,4,112.81,55.0,1,318.85,15.0,1,105.36,51.0,1,276.83,12.0,1,2.0145,5.6938,0.8916256482775169,22
105,처치,1,90,113,3651.39,2432,26,0,101,2386.37,1301,1,0,7,201.54,88.0,1,271.69,18.0,1,103.56,43.0,1,136.83,9.0,1,3.5989,4.8516,0.6562018340830125,23
2492,대조,0,78,101,1945.62,42245,4,0,53,778.84,344,1,0,1,53.47,24.0,1,229.62,16.0,1,33.480000000000004,17.0,1,154.06,12.0,1,0.9548,4.1004,0.660688725836075,23
109,처치,1,82,84,2736.52,1189,1,0,78,1092.05,504,1,0,3,92.75,44.0,1,231.33,8.0,1,74.82000000000001,35.0,1,164.67000000000002,5.0,1,1.6562,4.1309,0.7625263913317312,24
1815,대조,0,53,65,3035.82,165605,1,0,48,1237.83,548,1,0,0,286.42,123.0,1,759.63,15.0,1,88.09,43.0,1,310.94,7.0,1,5.1146,13.5648,0.7684564876562401,24
111,처치,1,41,45,1388.44,37121,17,0,37,648.28,309,1,0,0,18.09,9.0,1,22.68,1.0,1,0.0,0.0,0,0.0,0.0,0,0.323,0.405,0.4649236644328118,25
2429,대조,0,48,56,1271.67,720,19,0,45,748.13,389,1,0,1,99.28,54.0,1,151.93,5.0,1,99.28,54.0,1,151.93,5.0,1,1.7729,2.713,0.46546358090045054,25
114,처치,1,71,72,2580.29,67852,8,0,57,1358.89,557,1,0,3,101.23,37.0,1,231.63,9.0,1,66.96000000000001,24.0,1,122.73,4.0,1,1.8077,4.1362,0.6076941666161368,26
903,대조,0,63,65,2528.01,779,4,0,57,1262.36,444,1,0,3,11.17,5.0,1,100.37,2.0,1,2.39,1.0,1,77.6,1.0,1,0.1995,1.7923,0.6096953560273095,26
119,처치,1,41,45,1813.29,593,1,0,43,941.18,283,1,0,1,201.34,53.0,1,355.22,5.0,1,175.32,42.0,1,314.43,4.0,1,3.5954,6.3432,0.5547990090075198,27
2247,대조,0,40,43,2722.79,1045,1,0,35,1532.36,524,1,0,1,210.78,74.0,1,456.78,16.0,1,61.92,30.0,1,222.05,6.0,1,3.7639,8.1568,0.552874991118171,27
121,처치,1,82,101,2059.4,1022,8,0,75,1271.01,506,1,0,2,12.65,6.0,1,81.62,8.0,1,4.99,3.0,1,7.96,3.0,1,0.2259,1.4575,0.7394899748502846,28
98,대조,0,88,112,1429.81,1048,1,0,85,736.18,407,1,0,2,309.93,140.0,1,658.15,50.0,1,156.69,68.0,1,334.17,22.0,1,5.5345,11.7527,0.7375796554739842,28
122,처치,1,107,123,2257.14,1031,1,0,98,1360.79,462,1,0,4,7.77,4.0,1,54.45,6.0,1,7.77,4.0,1,22.26,3.0,1,0.1387,0.9723,0.7602367203540694,29
26,대조,0,80,87,1515.7,799,14,0,80,1008.09,499,1,0,1,87.1,48.0,1,145.55,12.0,1,38.120000000000005,24.0,1,58.06,4.0,1,1.5554,2.5991,0.755492006717899,29
123,처치,1,131,154,2928.75,113711,1,0,128,1571.91,658,1,0,2,60.82,33.0,1,144.4,10.0,1,39.56,17.0,1,86.66,6.0,1,1.0861,2.5786,0.9220469959281835,30
432,대조,0,161,187,2684.6,50262,2,0,131,1108.45,531,1,0,2,159.48,73.0,1,302.07,29.0,1,80.13,45.0,1,141.74,12.0,1,2.8479,5.3941,0.9185602296012779,30
132,처치,1,80,85,2414.81,12308,15,0,79,1296.35,561,1,0,5,50.25,20.0,1,133.52,3.0,1,6.36,3.0,1,22.39,1.0,1,0.8973,2.3843,0.5965907798438677,31
1877,대조,0,51,56,1667.2,685,19,0,45,765.98,312,1,0,0,137.29,41.0,1,213.91,4.0,1,137.29,41.0,1,213.91,4.0,1,2.4516,3.8198,0.5969911666191453,31
133,처치,1,58,61,2984.63,1305,4,0,54,1696.43,741,1,0,3,115.71,56.0,1,338.33,7.0,1,61.03,31.0,1,204.29,3.0,1,2.0662,6.0416,0.62112531843216,32
1800,대조,0,60,70,3129.24,516571,8,0,39,984.63,404,1,0,1,50.46,20.0,1,215.99,7.0,1,10.9,7.0,1,62.78,3.0,1,0.9011,3.857,0.6181476813933537,32
136,처치,1,60,68,2547.04,1327,2,0,60,1226.08,606,1,0,1,24.03,9.0,1,60.129999999999995,2.0,1,0.0,0.0,0,0.0,0.0,0,0.4291,1.0738,0.7588869050588893,33
2121,대조,0,93,111,4160.75,354595,6,0,74,1707.86,629,1,0,4,278.0,96.0,1,828.66,17.0,1,205.94,64.0,1,483.4,8.0,1,4.9643,14.7975,0.7530024653186328,33
139,처치,1,57,65,2285.59,90736,1,0,49,918.82,491,1,4,1,114.5,60.0,1,305.38,9.0,1,50.59,23.0,1,129.13,5.0,1,2.0446,5.4532,0.7752735251809988,34
215,대조,0,95,106,1265.48,28594,2,0,72,667.61,379,1,2,1,72.73,48.0,1,225.88,18.0,1,39.41,30.0,1,152.22,12.0,1,1.2988,4.0336,0.7760098791262832,34
144,처치,1,76,86,2031.41,904,17,0,72,1183.34,438,1,0,3,8.0,4.0,1,56.32,1.0,1,8.0,4.0,1,56.32,1.0,1,0.1429,1.0057,0.6507602053280431,35
2457,대조,0,68,69,1379.87,14687,5,0,55,671.51,324,1,1,1,63.77,32.0,1,144.07,7.0,1,37.059999999999995,18.0,1,85.84,5.0,1,1.1388,2.5727,0.6504768440763278,35
157,처치,1,128,152,2269.81,16080,5,0,121,1159.51,438,1,0,4,64.28,27.0,1,121.56,5.0,1,59.75,24.0,1,112.24,4.0,1,1.1479,2.1707,0.8178919607572122,36
2137,대조,0,128,155,2486.33,180760,16,0,102,1143.77,551,1,0,3,89.9,53.0,1,267.91,23.0,1,43.58,30.0,1,163.69,14.0,1,1.6054,4.7841,0.816560023392536,36
158,처치,1,142,152,1627.59,539,2,0,139,574.02,359,1,1,3,49.04,23.0,1,100.56,13.0,1,20.74,11.0,1,62.98,6.0,1,0.8757,1.7957,0.8822238575436963,37
567,대조,0,176,207,2292.56,25005,1,0,127,903.39,409,1,0,3,201.55,80.0,1,450.17,26.0,1,123.94,48.0,1,275.64,16.0,1,3.5991,8.0388,0.8772183336324838,37
161,처치,1,139,167,3630.89,101432,1,0,129,1523.05,541,1,0,1,456.24,158.0,1,1081.72,51.0,1,305.08,111.0,1,689.92,31.0,1,8.1471,19.3164,0.9512101820188489,38
2116,대조,0,154,186,10530.22,468479,1,0,129,4929.36,2006,1,0,5,222.73,85.0,1,540.34,18.0,1,163.28,61.0,1,412.53,10.0,1,3.9773,9.6489,0.9435727593155364,38
162,처치,1,53,56,2290.38,791,3,0,50,1135.27,395,1,0,3,157.87,59.0,1,349.18,8.0,1,85.36,30.0,1,197.48,5.0,1,2.8191,6.2354,0.5294010682383415,39
1808,대조,0,69,76,1482.16,497,5,0,62,815.23,248,1,0,3,76.85,16.0,1,129.65,8.0,1,76.85,16.0,1,93.28,2.0,1,1.3723,2.3152,0.5279967852372495,39
165,처치,1,125,142,2492.52,250172,1,0,107,1336.24,671,1,2,6,107.71,57.0,1,258.53,18.0,1,70.79,42.0,1,163.42000000000002,10.0,1,1.9234,4.6166,0.7722624381622357,40
672,대조,0,82,89,1870.85,58319,2,0,74,964.76,490,1,0,1,136.24,81.0,1,247.74,12.0,1,35.36,21.0,1,66.07000000000001,6.0,1,2.4329,4.4239,0.7805423010019827,40
166,처치,1,93,95,2138.16,874,11,0,86,974.14,387,1,0,1,160.56,60.0,1,307.44,12.0,1,105.05,37.0,1,165.96,8.0,1,2.8671,5.49,0.831334334931722,41
573,대조,0,93,96,3039.1,100055,4,0,76,1354.86,486,1,3,3,29.15,9.0,1,52.58,4.0,1,15.08,6.0,1,34.52,2.0,1,0.5205,0.9389,0.8374231011157094,41
211,처치,1,72,76,1919.56,1178,12,0,62,847.36,362,1,0,1,52.22,20.0,1,122.42,12.0,1,28.57,12.0,1,73.6,6.0,1,0.9325,2.1861,0.7051629575678287,42
1792,대조,0,72,81,2337.51,125161,303,0,62,660.13,278,1,0,1,95.68,39.0,1,572.97,26.0,1,38.96,15.0,1,298.03,14.0,1,1.7086,10.2316,0.7062507387001634,42
214,처치,1,69,70,2188.7200000000003,1025,2,0,64,1277.29,622,1,1,3,160.44,83.0,1,290.19,9.0,1,92.38,52.0,1,151.09,5.0,1,2.865,5.182,0.689125818931514,43
2356,대조,0,84,96,2123.52,1225,43,0,68,1046.42,523,1,0,2,14.03,13.0,1,36.26,2.0,1,14.03,13.0,1,32.9,1.0,1,0.2505,0.6475,0.6892714178413326,43
220,처치,1,68,84,2240.33,211287,13,0,56,881.03,649,1,0,2,127.44,65.0,1,230.48,4.0,1,70.97,40.0,1,122.98,1.0,1,2.2757,4.1157,0.6326619505125956,44
1102,대조,0,63,67,1708.5,702,1,0,61,1107.81,448,1,0,2,177.81,68.0,1,356.67,8.0,1,19.700000000000003,3.0,1,41.370000000000005,2.0,1,3.1752,6.3691,0.6342100122865507,44
221,처치,1,58,63,2265.65,32745,7,0,54,770.91,458,1,0,2,112.57,69.0,1,260.39,8.0,1,75.02,42.0,1,180.22,6.0,1,2.0102,4.6498,0.6227126855451689,45
297,대조,0,68,77,1836.88,862,8,0,60,1002.33,404,1,0,2,535.75,177.0,1,869.36,21.0,1,140.16,55.0,1,226.41,7.0,1,9.567,15.5243,0.6246136856600908,45
227,처치,1,91,96,1070.52,8449,1,0,86,763.62,840,1,0,0,98.97,70.0,1,150.31,20.0,1,48.06,38.0,1,89.23,14.0,1,1.7673,2.6841,0.7938510219012297,46
654,대조,0,97,107,1694.24,872,4,0,96,818.96,430,1,0,2,158.76,73.0,1,382.65,24.0,1,134.42000000000002,60.0,1,268.71,13.0,1,2.835,6.833,0.7957498426031027,46
228,처치,1,63,70,2204.07,83977,5,0,52,1281.82,367,1,0,1,45.39,20.0,1,116.01,9.0,1,25.7,12.0,1,54.25,5.0,1,0.8105,2.0716,0.6709845030436044,47
741,대조,0,61,67,2484.93,39147,8,0,58,1402.6,571,1,0,2,161.62,63.0,1,356.23,10.0,1,41.68,14.0,1,82.82,5.0,1,2.8861,6.3612,0.6714002960220307,47
230,처치,1,111,127,3632.49,142162,4,0,86,1814.57,862,1,0,2,247.54,98.0,1,449.65,21.0,1,166.11,69.0,1,287.48,12.0,1,4.4204,8.0295,0.8657407445482151,48
1982,대조,0,113,126,3339.18,260106,2,0,79,1228.2,1027,1,0,2,216.76,169.0,1,548.63,23.0,1,100.96,85.0,1,260.11,11.0,1,3.8707,9.797,0.8399313864350052,48
246,처치,1,38,40,741.55,3872,20,0,37,401.58,161,1,0,1,1.0,1.0,1,9.04,2.0,1,1.0,1.0,1,6.29,1.0,1,0.0179,0.1614,0.2663016620886101,49
688,대조,0,26,26,2870.63,968,21,0,26,1559.3,490,1,0,3,126.88,43.0,1,219.9,1.0,1,0.0,0.0,0,0.0,0.0,0,2.2657,3.9268,0.26636335505930003,49
249,처치,1,93,109,2170.25,17900,2,0,77,698.26,349,1,1,2,291.55,142.0,1,621.46,22.0,1,194.5,98.0,1,414.4,15.0,1,5.2062,11.0975,0.8086709547332143,50
694,대조,0,106,133,1512.14,660,88,0,108,548.65,278,1,0,2,30.06,15.0,1,125.8,7.0,1,14.76,6.0,1,75.87,4.0,1,0.5368,2.2464,0.7900066698620383,50
251,처치,1,61,70,1874.17,8072,10,0,57,994.5,348,1,0,1,125.82,33.0,1,185.21,5.0,1,85.39,19.0,1,89.65,2.0,1,2.2468,3.3073,0.6680237297307957,51
1940,대조,0,62,63,2093.29,1254,10,0,63,1225.47,712,1,0,2,33.62,21.0,1,93.17,5.0,1,2.94,3.0,1,15.28,1.0,1,0.6004,1.6638,0.6671428041948766,51
261,처치,1,40,43,1175.23,132966,51,0,22,289.66,115,1,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.21432293285002546,52
1126,대조,0,22,22,2027.48,949,7,0,22,1130.74,439,1,0,2,144.54,44.0,1,255.66,3.0,1,144.54,44.0,1,255.66,3.0,1,2.5811,4.5654,0.213937792548492,52
264,처치,1,56,58,1667.44,26383,14,0,50,608.88,230,1,0,0,38.41,16.0,1,88.61,2.0,1,6.5,3.0,1,21.08,1.0,1,0.6859,1.5823,0.6468786724508344,53
1350,대조,0,82,112,1741.46,10769,25,0,77,1046.36,521,1,0,3,237.08,91.0,1,403.47,11.0,1,106.27,39.0,1,155.23,3.0,1,4.2336,7.2048,0.6459358218022071,53
273,처치,1,83,95,1775.26,734,3,0,57,721.48,262,1,0,1,181.67,63.0,1,499.38,18.0,1,73.0,24.0,1,214.44,10.0,1,3.2441,8.9175,0.6738583358117152,54
1569,대조,0,83,97,1216.22,715,12,0,83,721.33,385,1,0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.6739829784325013,54
275,처치,1,190,242,4817.13,155964,1,0,168,2208.01,1093,1,0,2,323.65,166.0,1,780.97,37.0,1,177.32,80.0,1,408.73,19.0,1,5.7795,13.9459,0.9695539535688553,55
831,대조,0,120,133,6988.28,2431,1,0,113,3286.42,1212,1,0,0,415.15,129.0,1,912.91,16.0,1,222.6,64.0,1,474.27,7.0,1,7.4134,16.302,0.9732033624485049,55
282,처치,1,71,83,3089.76,110853,15,0,53,1340.34,559,1,6,4,89.71000000000001,32.0,1,366.86,8.0,1,57.66,16.0,1,213.88,5.0,1,1.602,6.5511,0.6939175902238849,56
2063,대조,0,70,72,2206.06,1142,8,0,65,1614.97,779,1,0,2,150.32,50.0,1,186.76,3.0,1,103.93,35.0,1,126.3,2.0,1,2.6843,3.335,0.6943642497286695,56
287,처치,1,166,199,2279.8,75621,7,0,136,1079.99,470,1,0,7,163.55,72.0,1,362.33,30.0,1,48.33,24.0,1,143.11,11.0,1,2.9205,6.4702,0.7054369618766327,57
441,대조,0,61,61,1999.27,935,2,0,59,878.77,402,1,0,1,73.78,26.0,1,166.45000000000002,6.0,1,41.38,13.0,1,62.8,3.0,1,1.3175,2.9723,0.7083544889438935,57
300,처치,1,78,89,4497.04,1881,9,0,80,2420.84,885,1,0,5,133.44,42.0,1,295.56,12.0,1,102.48,28.0,1,195.93,8.0,1,2.3829,5.2779,0.7336097081512571,58
336,대조,0,76,110,2824.17,112844,7,0,63,1451.96,673,1,0,2,115.87,56.0,1,241.54,8.0,1,65.63,26.0,1,147.49,6.0,1,2.0691,4.3132,0.7352332496717415,58
308,처치,1,53,57,1658.59,61153,3,0,37,558.11,191,1,0,0,127.18,46.0,1,396.2,12.0,1,43.73,14.0,1,98.46,3.0,1,2.2711,7.075,0.5303952765883647,59
1124,대조,0,51,62,1676.9,2947,35,0,46,1106.14,562,1,0,1,52.83,32.0,1,106.88,6.0,1,52.83,32.0,1,104.89,5.0,1,0.9434,1.9086,0.5319204060410654,59
318,처치,1,66,85,1080.18,16611,6,0,44,420.73,239,1,3,2,10.77,4.0,1,16.240000000000002,1.0,1,0.0,0.0,0,0.0,0.0,0,0.1923,0.29,0.48527906696813494,60
1918,대조,0,47,55,2378.9,85670,86,0,42,1347.7,459,1,0,2,126.16,45.0,1,421.28,8.0,1,121.16,42.0,1,358.85,5.0,1,2.2529,7.5229,0.48493303474971355,60
319,처치,1,81,96,3411.51,206210,2,0,74,1629.57,806,1,0,4,143.32,48.0,1,311.82,10.0,1,108.19,31.0,1,203.5,4.0,1,2.5593,5.5682,0.7255628512501381,61
1246,대조,0,66,70,4306.89,120300,5,0,58,1571.49,574,1,0,3,112.89,50.0,1,434.13,14.0,1,90.64,44.0,1,308.76,8.0,1,2.0159,7.7523,0.7230786265833345,61
322,처치,1,48,54,1953.65,12806,25,0,47,840.17,375,1,0,2,75.61,27.0,1,133.52,6.0,1,75.61,27.0,1,133.52,6.0,1,1.3502,2.3843,0.508397795893472,62
566,대조,0,91,142,1169.11,61223,71,0,52,384.64,180,1,0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5087266223326466,62
339,처치,1,54,57,1509.04,1069,3,0,53,1009.62,641,1,0,1,6.75,4.0,1,12.15,3.0,1,3.76,2.0,1,3.76,1.0,1,0.1205,0.217,0.6015049153519629,63
2482,대조,0,47,64,2313.86,1335,3,0,58,1308.96,690,1,0,3,91.39,48.0,1,181.67,4.0,1,23.94,12.0,1,50.27,2.0,1,1.632,3.2441,0.6008194729767167,63
353,처치,1,84,94,2560.58,1053,1,0,72,1410.28,523,1,1,2,333.39,132.0,1,733.36,20.0,1,225.5,87.0,1,482.75,11.0,1,5.9534,13.0957,0.8149080211833467,64
764,대조,0,63,77,2167.6,108748,4,0,56,1094.36,529,1,3,1,174.59,67.0,1,355.97,15.0,1,103.84,44.0,1,175.99,7.0,1,3.1177,6.3566,0.7889898965795052,64
362,처치,1,77,77,2465.92,50663,5,0,68,1218.79,579,1,2,2,88.14,43.0,1,205.76,5.0,1,53.53,22.0,1,107.6,3.0,1,1.5739,3.6743,0.8028920960160262,65
1188,대조,0,77,93,2271.72,13424,5,0,81,1197.3,894,1,0,2,216.82,146.0,1,466.61,22.0,1,108.68,67.0,1,228.09,11.0,1,3.8718,8.3323,0.7847861298566159,65
364,처치,1,73,77,2321.82,12016,38,0,67,1184.44,398,1,0,4,32.03,9.0,1,75.06,4.0,1,16.09,5.0,1,43.02,2.0,1,0.572,1.3404,0.5688391833829287,66
480,대조,0,68,80,3217.36,222919,1,0,52,1464.45,697,1,0,4,152.24,62.0,1,375.94,10.0,1,73.81,30.0,1,218.18,7.0,1,2.7186,6.7132,0.5691360463899783,66
390,처치,1,83,85,1483.16,12029,5,0,53,557.83,218,1,0,2,56.17,18.0,1,171.16,14.0,1,27.9,11.0,1,92.1,8.0,1,1.003,3.0564,0.528372188885946,67
138,대조,0,46,46,2875.17,1488,2,0,38,1383.35,588,1,0,2,260.29,111.0,1,404.31,11.0,1,158.13,67.0,1,278.77,6.0,1,4.648,7.2198,0.5274505715914071,67
398,처치,1,72,94,1636.23,77907,2,0,50,679.09,416,1,0,0,39.45,21.0,1,157.44,14.0,1,29.77,17.0,1,79.17,8.0,1,0.7045,2.8114,0.6701348260322364,68
2159,대조,0,73,97,1687.69,41913,29,0,62,935.49,355,1,0,1,73.35,26.0,1,116.13,4.0,1,61.120000000000005,19.0,1,84.86,2.0,1,1.3098,2.0738,0.6729778978399441,68
