household_key,group,treatment,pre_active_days,pre_baskets,pre_sales,pre_quantity,recency,no_pre_purchase,pre_target_baskets,pre_target_sales,pre_target_quantity,pre_target_purchase,pre_coupon_redemptions,pre_campaign_count,target_sales,target_quantity,target_purchase,total_sales,baskets,any_purchase,target_sales_first30,target_quantity_first30,target_purchase_first30,total_sales_first30,baskets_first30,any_purchase_first30,target_sales_per_day,total_sales_per_day,p_score
55,처치,1,107,111,820.25,337,1,0,70,336.89,143,1,0,3,58.16,16.0,1,117.45,15.0,1,35.2,11.0,1,44.92,7.0,1,1.0386,2.0973,0.470314828824961
56,대조,0,143,158,5143.57,10465,5,0,140,2260.76,858,1,2,1,310.29,110.0,1,732.01,23.0,1,167.79,56.0,1,346.23,13.0,1,5.5409,13.0716,0.9769579788792512
57,처치,1,115,146,2434.99,103083,6,0,115,1119.2,496,1,0,3,59.58,35.0,1,274.48,21.0,1,26.1,15.0,1,121.08,11.0,1,1.0639,4.9014,0.85120316218929
65,처치,1,78,99,1718.01,490,5,0,58,749.09,205,1,0,5,113.37,28.0,1,255.91,18.0,1,70.87,18.0,1,169.29,12.0,1,2.0245,4.5698,0.3948081488464354
71,처치,1,72,76,2991.04,12371,7,0,67,931.71,406,1,0,1,47.64,25.0,1,65.29,4.0,1,28.9,8.0,1,31.18,2.0,1,0.8507,1.1659,0.8098101354278769
73,처치,1,128,160,2748.86,215939,72,0,109,1019.09,374,1,0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.8358700988566122
77,처치,1,68,69,4550.63,2150,23,0,67,2259.35,924,1,0,1,356.34000000000003,134.0,1,745.92,8.0,1,267.34000000000003,96.0,1,542.0,4.0,1,6.3632,13.32,0.8537759919712404
79,처치,1,108,123,3043.67,150107,3,0,88,1404.1,549,1,0,0,117.76,57.0,1,298.29,10.0,1,95.21,42.0,1,230.3,7.0,1,2.1029,5.3266,0.9107336265251369
83,대조,0,79,92,1021.26,42080,4,0,48,362.48,180,1,0,1,69.97,22.0,1,125.98,12.0,1,14.67,6.0,1,63.71,5.0,1,1.2495,2.2496,0.472193782899575
86,처치,1,31,40,3492.24,16183,19,0,35,1430.06,467,1,0,1,217.93,63.0,1,379.82,3.0,1,24.76,4.0,1,24.76,1.0,1,3.8916,6.7825,0.5756640359280489
91,처치,1,110,133,2139.81,178279,1,0,91,856.32,321,1,0,1,162.63,72.0,1,405.34,27.0,1,75.55,33.0,1,222.19,15.0,1,2.9041,7.2382,0.8609306159015696
92,대조,0,44,46,1192.44,10909,4,0,40,705.97,390,1,0,1,89.01,47.0,1,165.1,5.0,1,41.34,13.0,1,110.91,2.0,1,1.5895,2.9482,0.4142103952833457
96,대조,0,47,57,1155.0,408,182,0,48,687.95,249,1,0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.373822613231649
98,대조,0,88,112,1429.81,1048,1,0,85,736.18,407,1,0,2,309.93,140.0,1,658.15,50.0,1,156.69,68.0,1,334.17,22.0,1,5.5345,11.7527,0.7375796554739842
99,처치,1,170,230,6064.58,50934,4,0,177,3298.13,1741,1,2,2,318.61,171.0,1,538.56,11.0,1,126.06,61.0,1,215.15,4.0,1,5.6895,9.6171,0.983460851414695
101,처치,1,102,147,4737.1,235127,4,0,79,2090.12,962,1,2,3,378.38,160.0,1,1015.93,38.0,1,119.41,51.0,1,533.1800000000001,19.0,1,6.7568,18.1416,0.8855366977486874
103,대조,0,30,38,445.24,245,67,0,29,239.36,102,1,0,1,11.96,5.0,1,47.24,5.0,1,0.0,0.0,0,32.589999999999996,1.0,1,0.2136,0.8436,0.11990513415265419
105,처치,1,90,113,3651.39,2432,26,0,101,2386.37,1301,1,0,7,201.54,88.0,1,271.69,18.0,1,103.56,43.0,1,136.83,9.0,1,3.5989,4.8516,0.6562018340830125
108,대조,0,45,53,2435.17,69412,9,0,44,1294.95,515,1,0,4,49.56,30.0,1,128.51,5.0,1,29.84,17.0,1,83.78999999999999,2.0,1,0.885,2.2948,0.4012566745801828
109,처치,1,82,84,2736.52,1189,1,0,78,1092.05,504,1,0,3,92.75,44.0,1,231.33,8.0,1,74.82000000000001,35.0,1,164.67000000000002,5.0,1,1.6562,4.1309,0.7625263913317312
111,처치,1,41,45,1388.44,37121,17,0,37,648.28,309,1,0,0,18.09,9.0,1,22.68,1.0,1,0.0,0.0,0,0.0,0.0,0,0.323,0.405,0.4649236644328118
112,대조,0,56,62,1053.24,129524,1,0,38,236.97,70,1,0,1,45.95,10.0,1,176.45,10.0,1,6.9,2.0,1,38.95,3.0,1,0.8205,3.1509,0.38131901902105264
114,처치,1,71,72,2580.29,67852,8,0,57,1358.89,557,1,0,3,101.23,37.0,1,231.63,9.0,1,66.96000000000001,24.0,1,122.73,4.0,1,1.8077,4.1362,0.6076941666161368
116,대조,0,67,70,557.01,318,6,0,63,279.91,224,1,0,2,31.43,27.0,1,52.46,7.0,1,14.79,14.0,1,20.55,3.0,1,0.5612,0.9368,0.38150726472120766
119,처치,1,41,45,1813.29,593,1,0,43,941.18,283,1,0,1,201.34,53.0,1,355.22,5.0,1,175.32,42.0,1,314.43,4.0,1,3.5954,6.3432,0.5547990090075198
121,처치,1,82,101,2059.4,1022,8,0,75,1271.01,506,1,0,2,12.65,6.0,1,81.62,8.0,1,4.99,3.0,1,7.96,3.0,1,0.2259,1.4575,0.7394899748502846
122,처치,1,107,123,2257.14,1031,1,0,98,1360.79,462,1,0,4,7.77,4.0,1,54.45,6.0,1,7.77,4.0,1,22.26,3.0,1,0.1387,0.9723,0.7602367203540694
123,처치,1,131,154,2928.75,113711,1,0,128,1571.91,658,1,0,2,60.82,33.0,1,144.4,10.0,1,39.56,17.0,1,86.66,6.0,1,1.0861,2.5786,0.9220469959281835
132,처치,1,80,85,2414.81,12308,15,0,79,1296.35,561,1,0,5,50.25,20.0,1,133.52,3.0,1,6.36,3.0,1,22.39,1.0,1,0.8973,2.3843,0.5965907798438677
133,처치,1,58,61,2984.63,1305,4,0,54,1696.43,741,1,0,3,115.71,56.0,1,338.33,7.0,1,61.03,31.0,1,204.29,3.0,1,2.0662,6.0416,0.62112531843216
136,처치,1,60,68,2547.04,1327,2,0,60,1226.08,606,1,0,1,24.03,9.0,1,60.129999999999995,2.0,1,0.0,0.0,0,0.0,0.0,0,0.4291,1.0738,0.7588869050588893
137,대조,0,34,35,1018.44,475,89,0,27,588.59,283,1,0,1,18.770000000000003,8.0,1,43.73,3.0,1,0.0,0.0,0,9.38,1.0,1,0.3352,0.7809,0.1997854355355888
138,대조,0,46,46,2875.17,1488,2,0,38,1383.35,588,1,0,2,260.29,111.0,1,404.31,11.0,1,158.13,67.0,1,278.77,6.0,1,4.648,7.2198,0.5274505715914071
139,처치,1,57,65,2285.59,90736,1,0,49,918.82,491,1,4,1,114.5,60.0,1,305.38,9.0,1,50.59,23.0,1,129.13,5.0,1,2.0446,5.4532,0.7752735251809988
140,대조,0,93,135,1679.62,905,4,0,71,796.01,433,1,0,3,0.0,0.0,0,20.23,3.0,1,0.0,0.0,0,6.220000000000001,2.0,1,0.0,0.3612,0.6277988795546778
144,처치,1,76,86,2031.41,904,17,0,72,1183.34,438,1,0,3,8.0,4.0,1,56.32,1.0,1,8.0,4.0,1,56.32,1.0,1,0.1429,1.0057,0.6507602053280431
145,대조,0,41,46,1085.17,461,1,0,32,447.65,159,1,0,1,22.48,4.0,1,60.25,2.0,1,22.48,4.0,1,57.75,1.0,1,0.4014,1.0759,0.3124859189128299
151,대조,0,37,42,1014.65,55879,45,0,34,557.44,269,1,0,1,133.27,49.0,1,155.61,4.0,1,27.0,11.0,1,33.52,2.0,1,2.3798,2.7788,0.28437866961235964
155,대조,0,43,46,1983.11,15711,28,0,41,871.88,337,1,0,2,30.4,11.0,1,84.17,4.0,1,11.65,3.0,1,26.95,2.0,1,0.5429,1.503,0.44535992900868765
157,처치,1,128,152,2269.81,16080,5,0,121,1159.51,438,1,0,4,64.28,27.0,1,121.56,5.0,1,59.75,24.0,1,112.24,4.0,1,1.1479,2.1707,0.8178919607572122
158,처치,1,142,152,1627.59,539,2,0,139,574.02,359,1,1,3,49.04,23.0,1,100.56,13.0,1,20.74,11.0,1,62.98,6.0,1,0.8757,1.7957,0.8822238575436963
160,대조,0,38,40,961.32,18881,2,0,33,550.9300000000001,229,1,0,1,60.61,25.0,1,210.1,9.0,1,20.77,9.0,1,66.99,4.0,1,1.0823,3.7518,0.29427893872833966
161,처치,1,139,167,3630.89,101432,1,0,129,1523.05,541,1,0,1,456.24,158.0,1,1081.72,51.0,1,305.08,111.0,1,689.92,31.0,1,8.1471,19.3164,0.9512101820188489
162,처치,1,53,56,2290.38,791,3,0,50,1135.27,395,1,0,3,157.87,59.0,1,349.18,8.0,1,85.36,30.0,1,197.48,5.0,1,2.8191,6.2354,0.5294010682383415
165,처치,1,125,142,2492.52,250172,1,0,107,1336.24,671,1,2,6,107.71,57.0,1,258.53,18.0,1,70.79,42.0,1,163.42000000000002,10.0,1,1.9234,4.6166,0.7722624381622357
166,처치,1,93,95,2138.16,874,11,0,86,974.14,387,1,0,1,160.56,60.0,1,307.44,12.0,1,105.05,37.0,1,165.96,8.0,1,2.8671,5.49,0.831334334931722
179,대조,0,37,38,620.5600000000001,288,65,0,33,312.24,100,1,0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.1895033271343019
180,대조,0,51,61,1929.77,2532,1,0,42,1027.4,383,1,0,2,98.69,35.0,1,160.64,4.0,1,34.04,10.0,1,47.99,1.0,1,1.7623,2.8686,0.49216517149439737
181,대조,0,25,38,1637.46,150328,5,0,26,791.54,358,1,0,2,2.0,1.0,1,33.36,1.0,1,2.0,1.0,1,33.36,1.0,1,0.0357,0.5957,0.24109691847533848
184,대조,0,152,199,5470.62,415498,1,0,132,2682.16,870,1,4,5,320.03,127.0,1,736.4,28.0,1,159.98,58.0,1,356.61,16.0,1,5.7148,13.15,0.9431353067869319
185,대조,0,44,55,1575.54,83133,8,0,36,781.25,347,1,0,1,41.39,21.0,1,108.9,5.0,1,11.64,4.0,1,23.63,2.0,1,0.7391,1.9446,0.42381123025680006
187,대조,0,39,45,529.89,350,44,0,34,334.16,187,1,0,2,20.57,7.0,1,33.480000000000004,4.0,1,20.57,7.0,1,30.89,3.0,1,0.3673,0.5979,0.14248524573783297
188,대조,0,31,35,1704.14,851,1,0,29,1073.23,445,1,0,2,3.0,3.0,1,4.18,2.0,1,1.0,1.0,1,2.1799999999999997,1.0,1,0.0536,0.0746,0.29841382075653505
194,대조,0,50,56,1423.17,21263,11,0,40,645.76,275,1,0,1,51.98,26.0,1,122.37,4.0,1,34.72,15.0,1,71.64,2.0,1,0.9282,2.1852,0.444582587626459
195,대조,0,65,83,3749.34,284974,1,0,61,2165.08,1037,1,0,2,59.52,23.0,1,123.61,3.0,1,30.07,10.0,1,87.89,2.0,1,1.0629,2.2073,0.7828626153111283
211,처치,1,72,76,1919.56,1178,12,0,62,847.36,362,1,0,1,52.22,20.0,1,122.42,12.0,1,28.57,12.0,1,73.6,6.0,1,0.9325,2.1861,0.7051629575678287
214,처치,1,69,70,2188.7200000000003,1025,2,0,64,1277.29,622,1,1,3,160.44,83.0,1,290.19,9.0,1,92.38,52.0,1,151.09,5.0,1,2.865,5.182,0.689125818931514
215,대조,0,95,106,1265.48,28594,2,0,72,667.61,379,1,2,1,72.73,48.0,1,225.88,18.0,1,39.41,30.0,1,152.22,12.0,1,1.2988,4.0336,0.7760098791262832
216,대조,0,86,94,2097.21,833,3,0,64,643.12,228,1,0,2,161.66,27.0,1,380.81,16.0,1,85.28,18.0,1,217.67,9.0,1,2.8868,6.8002,0.6916641449945554
219,처치,1,162,178,9163.8,117205,4,0,162,4734.63,1856,1,0,5,563.87,192.0,1,1011.98,18.0,1,298.1,93.0,1,540.32,7.0,1,10.0691,18.0711,0.9552016873939457
220,처치,1,68,84,2240.33,211287,13,0,56,881.03,649,1,0,2,127.44,65.0,1,230.48,4.0,1,70.97,40.0,1,122.98,1.0,1,2.2757,4.1157,0.6326619505125956
221,처치,1,58,63,2265.65,32745,7,0,54,770.91,458,1,0,2,112.57,69.0,1,260.39,8.0,1,75.02,42.0,1,180.22,6.0,1,2.0102,4.6498,0.6227126855451689
222,처치,1,99,111,5143.55,199511,3,0,86,2341.2,1119,1,1,2,99.76,50.0,1,196.29,7.0,1,47.85,24.0,1,85.1,2.0,1,1.7814,3.5052,0.9184018424657603
226,대조,0,37,45,1086.8,44312,183,0,27,672.94,316,1,0,1,9.86,8.0,1,10.45,2.0,1,0.0,0.0,0,0.0,0.0,0,0.1761,0.1866,0.205269763452139
227,처치,1,91,96,1070.52,8449,1,0,86,763.62,840,1,0,0,98.97,70.0,1,150.31,20.0,1,48.06,38.0,1,89.23,14.0,1,1.7673,2.6841,0.7938510219012297
228,처치,1,63,70,2204.07,83977,5,0,52,1281.82,367,1,0,1,45.39,20.0,1,116.01,9.0,1,25.7,12.0,1,54.25,5.0,1,0.8105,2.0716,0.6709845030436044
230,처치,1,111,127,3632.49,142162,4,0,86,1814.57,862,1,0,2,247.54,98.0,1,449.65,21.0,1,166.11,69.0,1,287.48,12.0,1,4.4204,8.0295,0.8657407445482151
236,대조,0,37,38,1304.07,665,31,0,29,772.48,331,1,0,2,39.52,6.0,1,81.06,3.0,1,32.129999999999995,2.0,1,68.39,2.0,1,0.7057,1.4475,0.222358826757829
245,대조,0,36,38,897.38,79594,1,0,26,428.57,213,1,0,1,227.89,87.0,1,422.11,7.0,1,17.11,7.0,1,27.11,2.0,1,4.0695,7.5377,0.20575443287686804
246,처치,1,38,40,741.55,3872,20,0,37,401.58,161,1,0,1,1.0,1.0,1,9.04,2.0,1,1.0,1.0,1,6.29,1.0,1,0.0179,0.1614,0.2663016620886101
249,처치,1,93,109,2170.25,17900,2,0,77,698.26,349,1,1,2,291.55,142.0,1,621.46,22.0,1,194.5,98.0,1,414.4,15.0,1,5.2062,11.0975,0.8086709547332143
251,처치,1,61,70,1874.17,8072,10,0,57,994.5,348,1,0,1,125.82,33.0,1,185.21,5.0,1,85.39,19.0,1,89.65,2.0,1,2.2468,3.3073,0.6680237297307957
257,대조,0,76,100,2109.42,15963,15,0,71,1251.2,630,1,0,3,207.99,84.0,1,355.1,14.0,1,168.41,62.0,1,265.4,8.0,1,3.7141,6.3411,0.656298256433877
258,처치,1,170,191,2149.43,38305,11,0,142,841.11,662,1,0,4,14.03,8.0,1,74.01,4.0,1,0.0,0.0,0,3.99,1.0,1,0.2505,1.3216,0.8488096064968108
261,처치,1,40,43,1175.23,132966,51,0,22,289.66,115,1,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.21432293285002546
264,처치,1,56,58,1667.44,26383,14,0,50,608.88,230,1,0,0,38.41,16.0,1,88.61,2.0,1,6.5,3.0,1,21.08,1.0,1,0.6859,1.5823,0.6468786724508344
266,대조,0,48,49,2401.07,44344,1,0,42,1298.06,562,1,0,2,82.08,29.0,1,135.54,3.0,1,0.0,0.0,0,0.0,0.0,0,1.4657,2.4204,0.5387419540619092
271,대조,0,78,89,740.96,346,50,0,23,268.51,103,1,0,4,47.62,4.0,1,59.59,3.0,1,0.0,0.0,0,0.0,0.0,0,0.8504,1.0641,0.061224329822286004
273,처치,1,83,95,1775.26,734,3,0,57,721.48,262,1,0,1,181.67,63.0,1,499.38,18.0,1,73.0,24.0,1,214.44,10.0,1,3.2441,8.9175,0.6738583358117152
275,처치,1,190,242,4817.13,155964,1,0,168,2208.01,1093,1,0,2,323.65,166.0,1,780.97,37.0,1,177.32,80.0,1,408.73,19.0,1,5.7795,13.9459,0.9695539535688553
278,대조,0,61,62,1803.64,706,2,0,50,858.49,319,1,0,3,11.87,3.0,1,51.36,4.0,1,0.0,0.0,0,22.93,1.0,1,0.212,0.9171,0.4804319159586726
279,대조,0,35,43,1477.16,103090,4,0,31,780.34,366,1,1,1,139.5,54.0,1,320.48,7.0,1,124.23,48.0,1,280.21,6.0,1,2.4911,5.7229,0.404671448984999
280,대조,0,69,79,1835.82,88730,2,0,52,1136.79,387,1,0,1,175.74,57.0,1,310.3,17.0,1,70.37,26.0,1,99.12,10.0,1,3.1382,5.5411,0.6438474594245522
282,처치,1,71,83,3089.76,110853,15,0,53,1340.34,559,1,6,4,89.71000000000001,32.0,1,366.86,8.0,1,57.66,16.0,1,213.88,5.0,1,1.602,6.5511,0.6939175902238849
286,대조,0,25,30,877.71,407,1,0,23,281.72,93,1,0,1,51.8,10.0,1,210.05,6.0,1,18.53,7.0,1,48.66,3.0,1,0.925,3.7509,0.1670910899455564
287,처치,1,166,199,2279.8,75621,7,0,136,1079.99,470,1,0,7,163.55,72.0,1,362.33,30.0,1,48.33,24.0,1,143.11,11.0,1,2.9205,6.4702,0.7054369618766327
288,대조,0,61,71,2469.96,187629,41,0,50,1139.22,457,1,0,3,91.57,53.0,1,210.99,8.0,1,64.65,39.0,1,120.12,5.0,1,1.6352,3.7677,0.5169430001907377
289,처치,1,115,140,4208.87,521862,2,0,92,1649.73,873,1,0,4,458.52,175.0,1,954.47,23.0,1,233.28,93.0,1,526.58,14.0,1,8.1879,17.0441,0.8308361801555552
297,대조,0,68,77,1836.88,862,8,0,60,1002.33,404,1,0,2,535.75,177.0,1,869.36,21.0,1,140.16,55.0,1,226.41,7.0,1,9.567,15.5243,0.6246136856600908
300,처치,1,78,89,4497.04,1881,9,0,80,2420.84,885,1,0,5,133.44,42.0,1,295.56,12.0,1,102.48,28.0,1,195.93,8.0,1,2.3829,5.2779,0.7336097081512571
302,대조,0,67,72,1508.62,10976,18,0,49,822.72,258,1,0,1,73.22,30.0,1,157.51,14.0,1,19.14,7.0,1,32.980000000000004,3.0,1,1.3075,2.8127,0.5480291744956244
307,처치,1,271,326,1961.07,47154,1,0,157,563.46,305,1,1,3,83.69,29.0,1,322.87,40.0,1,70.10000000000001,24.0,1,219.56,21.0,1,1.4945,5.7655,0.9228168205269982
308,처치,1,53,57,1658.59,61153,3,0,37,558.11,191,1,0,0,127.18,46.0,1,396.2,12.0,1,43.73,14.0,1,98.46,3.0,1,2.2711,7.075,0.5303952765883647
312,대조,0,33,36,2225.8,901,6,0,34,1074.49,506,1,0,2,45.76,16.0,1,124.17,1.0,1,45.76,16.0,1,124.17,1.0,1,0.8171,2.2173,0.4036195007780649
318,처치,1,66,85,1080.18,16611,6,0,44,420.73,239,1,3,2,10.77,4.0,1,16.240000000000002,1.0,1,0.0,0.0,0,0.0,0.0,0,0.1923,0.29,0.48527906696813494
319,처치,1,81,96,3411.51,206210,2,0,74,1629.57,806,1,0,4,143.32,48.0,1,311.82,10.0,1,108.19,31.0,1,203.5,4.0,1,2.5593,5.5682,0.7255628512501381
322,처치,1,48,54,1953.65,12806,25,0,47,840.17,375,1,0,2,75.61,27.0,1,133.52,6.0,1,75.61,27.0,1,133.52,6.0,1,1.3502,2.3843,0.508397795893472
330,처치,1,160,177,1503.2,68352,1,0,127,714.89,389,1,0,1,27.54,17.0,1,40.79,9.0,1,27.54,17.0,1,40.2,8.0,1,0.4918,0.7284,0.894530421508818
331,대조,0,44,54,1032.45,458,35,0,45,446.5,165,1,0,2,144.59,37.0,1,200.62,8.0,1,144.59,37.0,1,200.62,8.0,1,2.582,3.5825,0.3434157499869003
333,대조,0,34,38,1245.82,717,8,0,36,838.3100000000001,386,1,0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.3672033707069287
335,처치,1,114,129,2436.91,927,13,0,106,1203.4,444,1,0,2,55.16,30.0,1,145.46,10.0,1,18.01,11.0,1,52.55,4.0,1,0.985,2.5975,0.8617366784404483
336,대조,0,76,110,2824.17,112844,7,0,63,1451.96,673,1,0,2,115.87,56.0,1,241.54,8.0,1,65.63,26.0,1,147.49,6.0,1,2.0691,4.3132,0.7352332496717415
337,대조,0,53,54,836.9300000000001,31163,5,0,44,468.21,215,1,0,1,54.03,11.0,1,90.53,6.0,1,33.76,7.0,1,63.45,5.0,1,0.9648,1.6166,0.3784678863617502
339,처치,1,54,57,1509.04,1069,3,0,53,1009.62,641,1,0,1,6.75,4.0,1,12.15,3.0,1,3.76,2.0,1,3.76,1.0,1,0.1205,0.217,0.6015049153519629
342,대조,0,30,33,1660.01,801,16,0,25,1019.07,413,1,0,1,93.32,34.0,1,151.61,8.0,1,74.74,22.0,1,122.28,5.0,1,1.6664,2.7073,0.2711092711637417
343,대조,0,52,53,1050.1,415,23,0,42,381.33,154,1,0,1,26.8,13.0,1,170.72,6.0,1,10.66,4.0,1,57.41,2.0,1,0.4786,3.0486,0.3884581758174294
346,처치,1,97,102,4222.2699999999995,1814,3,0,91,1757.46,856,1,1,2,290.37,125.0,1,640.0600000000001,13.0,1,154.23,64.0,1,276.92,5.0,1,5.1852,11.4296,0.9121374402126081
348,대조,0,57,71,1458.78,887,4,0,51,872.37,379,1,0,1,621.65,240.0,1,1026.86,40.0,1,490.5,179.0,1,672.5500000000001,15.0,1,11.1009,18.3368,0.5770206490974504
353,처치,1,84,94,2560.58,1053,1,0,72,1410.28,523,1,1,2,333.39,132.0,1,733.36,20.0,1,225.5,87.0,1,482.75,11.0,1,5.9534,13.0957,0.8149080211833467
356,대조,0,145,195,2218.8,110054,8,0,89,346.09,208,1,0,1,10.03,7.0,1,221.26,15.0,1,4.25,4.0,1,106.54,8.0,1,0.1791,3.9511,0.8523371282126287
362,처치,1,77,77,2465.92,50663,5,0,68,1218.79,579,1,2,2,88.14,43.0,1,205.76,5.0,1,53.53,22.0,1,107.6,3.0,1,1.5739,3.6743,0.8028920960160262
364,처치,1,73,77,2321.82,12016,38,0,67,1184.44,398,1,0,4,32.03,9.0,1,75.06,4.0,1,16.09,5.0,1,43.02,2.0,1,0.572,1.3404,0.5688391833829287
365,처치,1,116,145,6128.97,110014,3,0,123,3956.38,1115,1,0,6,276.79,83.0,1,438.35,11.0,1,132.73,39.0,1,256.99,7.0,1,4.9427,7.8277,0.8692613648142961
368,대조,0,46,48,1112.43,45719,4,0,24,477.48,177,1,0,3,9.78,4.0,1,15.47,1.0,1,0.0,0.0,0,0.0,0.0,0,0.1746,0.2762,0.12965773775942308
370,처치,1,120,133,3386.78,329146,31,0,89,1157.16,528,1,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9111810383921066
387,처치,1,99,113,4348.36,1489,3,0,84,1739.49,641,1,1,2,195.51,62.0,1,500.22,8.0,1,126.37,40.0,1,381.01,7.0,1,3.4912,8.9325,0.9024331956656881
390,처치,1,83,85,1483.16,12029,5,0,53,557.83,218,1,0,2,56.17,18.0,1,171.16,14.0,1,27.9,11.0,1,92.1,8.0,1,1.003,3.0564,0.528372188885946
393,처치,1,125,147,2979.83,1538,2,0,91,1442.62,652,1,1,3,256.64,113.0,1,466.41,14.0,1,256.64,113.0,1,461.76,13.0,1,4.5829,8.3288,0.8552296643452528
396,대조,0,80,89,1303.66,52405,7,0,44,521.09,213,1,0,3,152.59,66.0,1,302.08,12.0,1,51.85,13.0,1,94.34,5.0,1,2.7248,5.3943,0.3443487714555395
398,처치,1,72,94,1636.23,77907,2,0,50,679.09,416,1,0,0,39.45,21.0,1,157.44,14.0,1,29.77,17.0,1,79.17,8.0,1,0.7045,2.8114,0.6701348260322364
